"year","pop","r","rpcap"
2003,6379049788,0.0130393782047611,2.04409412657199e-12
2004,6461673479,0.0128691865085246,1.99161820081881e-12
2005,6545082065,0.0128256011393324,1.95957835393962e-12
2006,6628858198,0.0127186340080821,1.91867643388713e-12
2007,6714045833,0.0127691531461148,1.90185671407745e-12
2008,6800571730,0.0128049615723646,1.88292427177511e-12
2009,6888343594,0.0128239622773307,1.86169027464031e-12
2010,6977189237,0.0128154986985529,1.83677097800248e-12
2011,7066275059,0.0126873277303094,1.79547606403322e-12
2012,7155572472,0.0125579445755943,1.75498810538695e-12
2013,7246832497,0.0126730565631068,1.74877183491589e-12
2014,7336754673,0.0123321257757134,1.68086931148139e-12
2015,7426477815,0.0121550949981976,1.63672407041286e-12
2016,7514505928,0.0117835790588523,1.5681109539012e-12
2017,7602603123,0.0116554285646759,1.53308391561503e-12
2018,7688632785,0.0112522715922032,1.46349447383618e-12
2019,7771172776,0.0106781129885148,1.37406711912164e-12
2020,7851414621,0.0102726326439553,1.30837984488545e-12
2021,7922587963,0.0090241934000893,1.13904616045085e-12
2022,7986308820,0.00801076261017889,1.00306196400991e-12
2023,8056505564,0.00875123158756682,1.08623168171957e-12
